m,targetID,KID,dimerID,Linf,MSE,goodenough,targetID_name
16,5,13,None,1.4534299082156434,8.996288505655388,False,XNOR
16,7,15,None,1.8784837144426976,1.60875693873416,False,AeqB
16,3,11,None,1.3557675395729378,9.451359108811873,False,XOR
16,1,7,None,1.8160815424243684,3.4825136198903333,False,NAND
16,10,15,None,2.0,3.53886195506882,False,ratio
16,3,8,None,1.3598772093816034,8.050839761892208,False,XOR
16,9,7,None,1.29537342872066,1.2225804206951774,False,DoubleBandpass
16,6,10,None,1.087241427706223,0.8017361270563687,False,ANOTB
16,7,3,None,2.0,1.4204699672482508,False,AeqB
16,1,10,None,1.602463444201935,2.1745650004997565,False,NAND
16,3,2,None,1.1829606324258202,9.05747832125112,False,XOR
16,2,12,None,0.33920508605610955,0.06480429034573343,True,OR
16,10,14,None,1.445952200948387,4.913893286877589,False,ratio
16,4,13,None,0.10969946766634386,0.0062010702713291245,True,NOR
16,0,15,None,1.2818834471060758,0.9298456381306318,False,AND
16,7,14,None,2.0,1.5495147880901514,False,AeqB
16,8,0,None,1.8260016415836051,3.4517375962962547,False,AneqB
16,3,5,None,1.536623006403289,8.35665718868095,False,XOR
16,3,10,None,1.5564285932426767,5.539401400271626,False,XOR
16,3,7,None,2.0,9.959923320775273,False,XOR
16,4,3,None,0.1960536735777525,0.0685174430190413,True,NOR
16,3,4,None,1.4796722175572377,6.325620439026603,False,XOR
16,8,16,None,1.8450862030539859,3.3883668180339206,False,AneqB
16,9,15,None,1.7203852813358278,1.9994597447522382,False,DoubleBandpass
16,0,4,None,1.1870693121550695,0.8311323753390728,False,AND
16,9,5,None,2.0,1.9122541184805828,False,DoubleBandpass
16,5,7,None,1.6315000942639974,9.875194537100928,False,XNOR
16,2,4,None,0.21170774977827067,0.0374472144308939,True,OR
16,1,14,None,1.7510485095907673,4.467869907565387,False,NAND
16,10,11,None,1.7356934983382941,4.2497912924111745,False,ratio
16,1,0,None,1.4020857625867322,6.285346747322213,False,NAND
16,6,13,None,0.20829111246135734,0.026573778275253358,True,ANOTB
16,10,10,None,1.519230180398813,2.590211142232374,False,ratio
16,5,4,None,1.4297609574768106,8.207295972705273,False,XNOR
16,0,11,None,1.0030206715061984,0.30204162863020745,False,AND
16,1,1,None,1.8049771154829855,3.2437558054662845,False,NAND
16,6,11,None,0.08129097982584588,0.0022035693253467693,True,ANOTB
16,8,15,None,1.8463838886004578,3.560953880364446,False,AneqB
16,9,3,None,1.4905205903015384,2.0903217709201685,False,DoubleBandpass
16,6,6,None,1.6001874115698338,2.3230569621067207,False,ANOTB
16,10,3,None,1.399272660691334,3.1555468377742444,False,ratio
16,1,2,None,1.8335558266492877,4.703146300298037,False,NAND
16,9,10,None,1.691502881544546,2.23052664708836,False,DoubleBandpass
16,5,6,None,1.2912544080902042,9.10419636053332,False,XNOR
16,9,4,None,1.8138508187464608,2.112619107522052,False,DoubleBandpass
16,8,9,None,1.8375514200533907,3.4290753619545655,False,AneqB
16,2,1,None,1.3589323139240665,2.9351978384020545,False,OR
16,10,1,None,1.488862992830471,3.4405514899903786,False,ratio
