m,targetID,KID,dimerID,Linf,MSE,goodenough,targetID_name
8,6,83,10,2.0,12.0,False,ANOTB
8,4,36,30,1.111134664915015,6.014810919930607,False,NOR
8,9,61,9,1.8011099755786844,2.664424667714591,False,DoubleBandpass
8,6,66,32,1.4868617556877495,8.472375368828398,False,ANOTB
8,6,27,3,2.0,8.501542978316921,False,ANOTB
8,2,19,27,1.093032110078464,6.038249184067905,False,OR
8,2,85,2,2.0,11.122324224678946,False,OR
8,5,30,14,2.0,18.20058928091067,False,XNOR
8,1,55,13,2.0,17.90064747868608,False,NAND
8,10,75,4,2.1700750249457372,9.056542805999229,False,ratio
8,9,72,5,2.0,3.0,False,DoubleBandpass
8,6,58,14,2.0,10.630387774772208,False,ANOTB
8,0,93,18,1.5328801909334469,3.248371461391333,False,AND
8,0,88,29,1.6213267964691132,7.835152538158005,False,AND
8,3,45,18,1.0052119499113514,11.99262710824837,False,XOR
8,10,28,4,3.9603960396039604,62.34003023183917,False,ratio
8,7,23,11,2.0,2.0,False,AeqB
8,9,6,33,1.8369146686077076,2.747792379252965,False,DoubleBandpass
8,8,69,19,2.0,44.0,False,AneqB
8,2,3,16,1.5006458083028653,9.013168698801413,False,OR
8,10,41,8,5.659350494079133,103.66671290392408,False,ratio
8,6,58,7,2.0,11.662808973414814,False,ANOTB
8,1,64,32,2.0,8.784599942027986,False,NAND
8,7,17,31,2.0,2.0,False,AeqB
8,0,40,28,2.0,9.159314071088543,False,AND
8,4,14,3,2.0,12.0,False,NOR
8,8,90,27,2.0,10.696092924841643,False,AneqB
8,3,33,25,2.0,13.017481305506516,False,XOR
8,6,57,4,1.4416356841638969,6.259636690206417,False,ANOTB
8,7,24,25,2.0,1.9141415190764721,False,AeqB
8,7,46,8,5.61116695054962,90.17498864688362,False,AeqB
8,10,79,33,3.9603960396039604,33.1919771717931,False,ratio
8,5,72,17,2.0,12.79451041863009,False,XNOR
8,1,54,26,1.7453538030130875,7.405866985117264,False,NAND
8,3,12,3,2.0,24.0,False,XOR
8,0,53,35,1.5094070342892856,8.991958511426914,False,AND
8,6,44,27,1.3445545558463636,6.922591270145991,False,ANOTB
8,5,27,6,2.0,11.659817945259503,False,XNOR
8,0,81,35,1.6816686912083458,7.886685051599014,False,AND
8,9,21,25,1.8497784982696786,2.764989250474581,False,DoubleBandpass
8,2,17,23,2.0,36.0,False,OR
8,3,13,17,1.0770212286928462,11.991282035255269,False,XOR
8,7,46,23,2.0,2.0,False,AeqB
8,2,18,8,2.0,26.226903457158645,False,OR
8,5,80,30,2.0,13.420105638693814,False,XNOR
8,10,36,27,3.9603960396039604,62.34003023183917,False,ratio
8,2,45,14,2.0,7.555682842379139,False,OR
8,10,85,28,3.9603960396039604,62.34003023183917,False,ratio
8,0,15,14,2.0,9.485399473080154,False,AND
8,1,69,25,1.5181627950819587,8.455254991308223,False,NAND
8,7,32,27,2.0,1.8966776250942925,False,AeqB
8,6,43,27,1.2242834734061496,6.100126940811079,False,ANOTB
8,7,45,28,1.9305231823993818,1.9071871132544589,False,AeqB
8,6,54,20,1.5149559707244666,8.978900396835721,False,ANOTB
8,4,2,22,1.44177315418088,8.297791165455545,False,NOR
8,2,99,4,2.0,8.002926464142842,False,OR
8,5,6,2,2.0,18.573171245310096,False,XNOR
8,6,53,11,2.0,12.0,False,ANOTB
8,1,59,0,4.52831517132299,42.284202128621274,False,NAND
8,9,40,27,1.6116888894736099,2.1088935289090425,False,DoubleBandpass
8,0,55,0,2.0,11.439741304827086,False,AND
8,8,14,11,2.0,37.89941374977583,False,AneqB
8,7,50,7,2.0,1.8142270232455102,False,AeqB
8,7,64,8,2.0,1.88724980895182,False,AeqB
8,10,79,9,3.9603960396039604,52.75706288377927,False,ratio
8,3,93,3,2.0,24.0,False,XOR
8,3,14,35,1.9458553598454564,22.620619735795376,False,XOR
8,6,3,13,2.0,12.0,False,ANOTB
8,0,4,5,2.0,12.0,False,AND
8,7,75,12,2.0,1.6892732346878103,False,AeqB
8,3,43,8,2.0,24.0,False,XOR
8,4,27,27,1.107000991332838,1.533709598240003,False,NOR
8,0,53,11,2.0,12.0,False,AND
8,7,25,8,4.911894267521608,32.7409313593201,False,AeqB
8,3,15,25,1.0028166102664757,11.999995761826838,False,XOR
8,4,13,26,0.039180344205051565,0.0015804882724623568,True,NOR
8,4,33,29,1.1000688058605288,5.674654196205123,False,NOR
8,1,77,1,2.0,36.0,False,NAND
8,4,19,32,1.4999928442289892,8.999999623836315,False,NOR
8,4,51,13,2.0,12.0,False,NOR
8,9,19,10,2.0,3.0,False,DoubleBandpass
8,8,71,33,1.8908101520883167,33.56574984633834,False,AneqB
8,4,7,13,2.0,12.0,False,NOR
8,4,13,27,1.5277212058925742,8.42753715006565,False,NOR
8,0,50,20,2.0,12.0,False,AND
8,8,21,31,2.0,19.875927718797758,False,AneqB
8,8,11,22,2.0,44.0,False,AneqB
8,3,23,22,2.0,24.0,False,XOR
8,9,64,4,1.845874986527778,2.710313546940505,False,DoubleBandpass
8,8,29,4,1.9989556318803237,9.281197763692274,False,AneqB
8,7,26,24,1.98128900755004,1.910774099626144,False,AeqB
8,9,67,31,1.8528510910316065,2.642149582897867,False,DoubleBandpass
8,7,54,26,2.0,2.0,False,AeqB
8,7,32,19,2.0,1.9870209019443268,False,AeqB
8,8,18,17,2.0,44.0,False,AneqB
8,3,76,11,2.0,14.536112602566016,False,XOR
8,5,62,17,1.6810548931793954,10.245440275096625,False,XNOR
8,3,38,21,1.2890095947569475,12.0605941972644,False,XOR
8,7,63,9,1.8896488209902143,1.8406303924279044,False,AeqB
8,2,9,20,1.3497931933403837,8.788701164580498,False,OR
8,9,83,26,1.8733573417807148,2.6609505781849667,False,DoubleBandpass
8,3,82,3,2.0,13.790521847140772,False,XOR
8,1,68,7,2.0,34.29233643487374,False,NAND
8,5,41,16,2.0,24.0,False,XNOR
8,1,45,30,1.5112607164642973,8.747534922778557,False,NAND
8,1,49,10,2.0,36.0,False,NAND
8,10,14,9,3.9603960396039604,56.67541391069326,False,ratio
8,9,74,12,2.0,3.0,False,DoubleBandpass
8,5,38,17,1.0428155029244874,11.498353437808419,False,XNOR
8,5,33,31,2.0,13.024967425950821,False,XNOR
8,8,70,9,2.0,44.0,False,AneqB
8,9,0,21,2.0,3.0,False,DoubleBandpass
8,6,92,5,1.6940086131746626,6.23154728317128,False,ANOTB
8,0,54,27,1.6111565546321924,9.182371305538728,False,AND
8,4,31,25,1.2492750115788018,7.10727157942176,False,NOR
8,7,14,10,2.0,1.3455524386746693,False,AeqB
8,4,90,20,1.4175174820945946,2.402535187057819,False,NOR
8,9,68,20,1.8354135063277406,2.709311201664758,False,DoubleBandpass
8,9,9,20,1.8024530762376236,2.609706631037779,False,DoubleBandpass
8,4,58,35,1.2518989793109085,7.17353177069332,False,NOR
8,9,2,15,1.897112236728296,2.948919683064019,False,DoubleBandpass
8,10,87,26,3.9603960396039604,52.461775273309705,False,ratio
8,2,84,28,2.0,12.014374447768583,False,OR
8,6,29,32,1.5233769232097911,8.74419089210379,False,ANOTB
8,3,25,2,2.0,20.16018405721619,False,XOR
8,1,97,26,1.5501918822222291,7.884433046357198,False,NAND
8,7,18,11,2.0,1.6745825077110428,False,AeqB
8,7,96,7,1.8424683490682856,1.873711437550523,False,AeqB
8,4,9,6,2.0,12.0,False,NOR
8,3,87,17,2.0,24.0,False,XOR
